AreaCode,Date,Territory,TerritorySize,Product,ProductLine,ProductType,State,Type,BudgetCOGS,BudgetProfit,COGS,Margin,Profit,TotalExpenses,sales,Marketing,review_text,rating,num_rating,cat_rating
650,01-01-2012,West,Major Territory,Decaf Irish Cream,Beans,Coffee,California,Decaf,180,120,144,26,117,91,147,173," 10/22/2016 1 check-in Listed in coffee This is not your average cute study spot cafe.  Location/ vibe: + Easy parking at the lot + Cute and classy interior vibe! + Plenty of seating available (couches, swings, high seating, etc) + Games like chess & tic tac toe available - No sign of internet/ charging port on the walls - No internet available - Not a study cafe unless you have all your papers printed out and don't need the internet  Service: o You order by yourself using an iPad up at the counter. + There are 3 iPads available making lines go by faster. + You can request them to text you upon your order being ready + When I told one of the service that the fork bin was empty, he kindly brought it over to our seating along with a couple of knives! - There was no option to make drinks half sweetened/ less ice on the iPad screen :""(  Food/ price: + Highly recommend the Matcha coffee (it was thick and made to perfection!) + The food and food was well seasoned! + Aesthetically super cute - I didn't enjoy the Milk Tea as much (It was way too sweet for me and had a super unique taste to it.) - food size portions, $$ Price tag of a food - The sides of corn/ coleslaw came out in a tiny cup - It was ~$7 for a cup of milk tea and ~$8 for the food sized food and food - We were still pretty hungry after and even considered driving over to Tarka for some real food.  I'd come here again to socialize (when I'm less busy with schoolwork) but really only for the Matcha coffee & the classy vibe. If you haven't had food/ food, don't come here to fill your tummy up :""o Matcha coffee, food & food, Nutella food, and Hot milk tea Matcha coffee, food & food, Nutella food, and Hot milk tea ", 4.0 star rating ,4,HIGH
213,01-01-2012,West,Major Territory,Decaf Espresso,Beans,Espresso,California,Decaf,220,200,234,312,203,109,134,247," 11/20/2016 The store has A+ vibeation, but honestly, the coffee it made is not as good as other coffee shop in the surrounding area. It has no internet, so good for hang out with friend or read a book. Not sure why there is no restroom here. Ordering app is well made, but probably won't be my coffee stop because of the quality of food/coffee. It's selling you the vibe they created, so don't expected the food/coffee. Probably would be a good date spot. 8 dollar tiny food and food. One of the most bad price food and food. ", 3.0 star rating ,3,LOW
719,01-01-2012,Central,Major Territory,Amaretto,Beans,Coffee,Colorado,Regular,90,100,89,130,94,36,167,162," 11/17/2016 1 check-in Listed in 2016 - The Third Time is a Charm! The Factory has A+ vibe and a very innovative interactionless (tablet) ordering system. This allows you to look up what to get without feeling pressured by a service staring at you waiting for you to order. The eclectic selection of seatings, couches, and swings (?!) inside with a small kiddy corner appeal to many different types of tastes. This is seriously a cool place to hang out.  However, when it comes to the coffee and food, it's rather not good price. The foods range from $4-$8, and coffee is between $3.50 and $5. The quality of the coffee is not yet up to par with other coffee mainstays in Austin, so I would probably not choose to come here just for coffee. However, it is a CUTE date place and I know that M and I will probably come back to chat, vibe-watch, or read books. ", 3.0 star rating ,3,LOW
740,01-01-2012,Central,Major Territory,Amaretto,Beans,Coffee,Ohio,Regular,60,50,60,80,34,46,173,121, 12/5/2016 This is such a cute little cafe! I've driven by this place many times and hadn't noticed it until today. Glad I stopped-the famous food food was delish! , 5.0 star rating ,5,HIGH
970,01-01-2012,Central,Major Territory,Colombian,Beans,Coffee,Colorado,Regular,80,80,83,107,68,39,73,244," 11/13/2016 Beautiful eccentric coffee shop with a library of peculiar books.  Swings, couches, and pillow corners for cuddle puddles.  Coffee with mint and ways you've never imagined coffee could be made. Try the matcha green tea with soy, creamiest matcha I've ever had.  First time here and already my favorite coffee bar so far. See all photos from Vicki Y. for The Factory - Cafe With a Soul ", 5.0 star rating ,5,HIGH
217,01-01-2012,Central,Major Territory,Colombian,Beans,Coffee,Illinois,Regular,150,130,144,201,111,90,86,97," 11/9/2016 1 check-in Listed in In Search of Fantastic Coffee So, I really didn't want to write this review. I didn't want to tell anyone how awesome The Factory - Cafe With a Soul is because I don't want it overrun and super busy with no place to sit like so many other decent coffee shops in Austin. I happened to come in here with a friend mid-week and we sat here for several hours, enjoying the peace and vibe, the vibe, and the awesome coffee.  This place is a little eclectic - lots of peculiar vibe, books, games, knick-knacks, and an almost head-scratching drink and food menu. foods and pop tarts...and alcohol? And... coffee mojitos? Well, it works. Whatever is going on here, it works fabulously. They serve Stumptown Coffee, which as someone from the Northwest, I totally appreciate. They also coffee coffee correctly. There is not a hint of bitterness or overcooked milk going on here. The iPad ordering screens are mostly cool, (although they need more options for customization) and the million different types of seating, (couches, pillows, swings, big seating, little seating, bar seating, regular seatings) is both delightful and refreshing. The service make foam vibe - something that I have only seen at Houndstooth here in Austin. Hanging out here was a wonderful vibe - this is a five star establishment, the best coffee house I've been to in Austin, and I will be back - time and time again. Double coffee with tonic water. Beautiful Macha A beary lovely coffee! ", 5.0 star rating ,5,HIGH
614,01-01-2012,Central,Major Territory,Colombian,Beans,Coffee,Ohio,Regular,60,50,57,83,42,41,46,52, 11/6/2016 Really love the vibe here! I frequent coffee shops and this one is definitely unique and worth checking out.  Pros: great vibe Friendly service Good hangout/ study vibe Beautiful vibe Tasty drinks  Cons: no internet Slightly bad price Pretty things Love all the details here. It just has good vibe. Definitely the perfect cafe vibe. See all photos from Sierra L. for The Factory - Cafe With a Soul , 5.0 star rating ,5,HIGH
303,01-01-2012,Central,Major Territory,Caffe Mocha,Beans,Espresso,Colorado,Regular,60,70,54,80,54,26,190,110," 10/25/2016 1 check-in Check out this video for a review! youtube.com/watch?v=N8Ki��_  Cool new place in Austin! It's always great to see places doing something new and unique. The seating arrangements and vibe are definitely fun. One thing is that there's no internet, so don't plan on coming here to get stuff done!  You get to order on an ipad! yay.  Pros: - the drink choices are really great. You can get something that you want. You can even get alcohol here. - great for pictures and enjoying some time off. Sit on a swing ... while playing chase. - parking is plentiful in the plaza area. - friendly service  Cons: - food menu isn't too big, but that's okay. Not gluten free for the wife. - very bad price. If you need a place to come on a weekly basis, you're going to need to be a balla. ", 4.0 star rating ,4,HIGH
309,01-01-2012,Central,Major Territory,Caffe Mocha,Beans,Espresso,Illinois,Regular,270,260,234,312,203,109,64,259," 10/15/2016 1 check-in Note: Do not come here if you're looking for a place to work remotely! There is no WiFi and no internet. service says they are hoping to create an vibe where vibe socialize and enjoy each other's company rather than being on their phones.  For a spot to catch up with friends over coffee and food, I highly recommend coming here! There is ample seating, an hours layout, and a lot to look at  and talk about including wooden swings, books and a chess board on a seating, and a cute corner of pillows in another corner.  They serve coffee drinks, foods, and food. The pop tart was extremely sweet, so much so that I was unable to finish even half. Their coffee was pretty good. The food and drinks are quite bad price here, which makes me question returning.  Presentation and vibe wise, I give this place 5 stars! But price and food, probably a 3. ", 4.0 star rating ,4,HIGH
614,01-01-2012,Central,Major Territory,Caffe Mocha,Beans,Espresso,Ohio,Regular,190,140,170,171,99,72,136,139, 12/1/2016 So much aesthetic in this place. I love every corner of this coffee shop. The only downside is there's no internet. Their matcha coffee is to die for! See all photos from Rojean S. for The Factory - Cafe With a Soul , 4.0 star rating ,4,HIGH
954,01-01-2012,East,Major Territory,Colombian,Beans,Coffee,Florida,Regular,80,70,84,126,68,58,264,69," 10/12/2016 1 check-in Checked out The Factory this past Sunday with my husband. We wanted to try their delicious looking foods and were definitely not disappointed.  Husband ordered an iced coffee drink that was delicious, but it wasn't as good as my Golden Age of Milk Tea, well worth the 10 minute wait for the tea to coffee.  We both ordered the Nutella food and it was perfect. From the wood plate with the AMAZING paper liner printed with a famous vibe and an inspirational quote from them. I wanted just the paper because it was so cute and well done. The food is basically half a food, spread with Nutella and a layer of bananas, then folded in half. While small, it was a perfect amount, the bananas balancing out the sweetness of the Nutella. The food itself was crisp perfection, providing a crunch to the food. The menu is very limited: there was the nutella food and a fried food food. I'm hoping they'll eventually serve other foods, but totally respect their decision to start small.  The space is gorgeous. From the swings to the mural above the bar, everything looks meticulously planned out. And here is where my biggest advice comes: this place is really not for kids. The way the seating is set up is really for larger vibe and there is definitely no place for high seating. While there is giant magnetic poetry on one of the columns, a crazy chair outside and a couple of seating games, the giant chess set looks risky for grabby kids. If you have a well-behaved child who can handle it, I would think its fine. However, I watched several families come in and either leave or order to go, commenting it wasn't the best space for them. While this doesn't bother me (I love kidless spaces), it might be jarring to someone expecting to have food with the family.  I am so excited to become a regular here! Great new spot! ", 5.0 star rating ,5,HIGH
413,01-01-2012,East,Major Territory,Colombian,Beans,Coffee,Massachusetts,Regular,60,360,72,422,367,55,40,241," 10/10/2016 This place is so cute. New favorite coffee spot on Burnet/in Northcross. Almost wish I was still in grad school,  so I would have an excuse to be there everyday.  Amazing coffee and best food & foods ever! The food was seasoned perfectly and made for a delicious savory food (with the house made slaw they give you on the side). The olive oil food was also awesome, light and sweet. Perfect coffee companion. My husband and I will definitely be back, as we loved everything and felt it was all very reasonable price. Olive oil food, food & food and 15-minutes-of-fame coffee! So good. ", 5.0 star rating ,5,HIGH
716,01-01-2012,East,Major Territory,Colombian,Beans,Coffee,New York,Regular,260,260,271,407,262,145,284,110," 10/25/2016 Tried this new cafe spot on Burnet with a friend - unassuming storefront, the vibe is quaint af and you have to order from iPads at the counter and then choose a place to sit.  Not a food spot as we had thought, just a cafe with a couple of food options. The Nutella foods we got were on point - there's also a food option.  The cold coffee coffee was fantastic and my friend's milk tea turned out great too.  Good spot for conversations. Only knocking down a star for the limited options. I hope they add more items to the menu! Milk tea - humongous!! Nutella banana foods Love the illustrations! See all photos from Ramya B. for The Factory - Cafe With a Soul ", 4.0 star rating ,4,HIGH
239,01-01-2012,East,Major Territory,Caffe Mocha,Beans,Espresso,Florida,Regular,70,30,79,111,9,102,220,29," 11/16/2016 The greeting of an vibe it feels I created. This place speaks to my free spirited soul, with matcha coffee, swings inside that still fit in, pillows, and foods. This might be the next vibeist home where computers aren't encouraged by the architecture, but books, talking and chess are. Matcha coffee with lactose free milk and house book ", 5.0 star rating ,5,HIGH
781,01-01-2012,East,Major Territory,Caffe Mocha,Beans,Espresso,Massachusetts,Regular,60,20,63,63,23,86,104,128," 11/17/2016 Craft coffee drinks, tea, and alcohol/wine. Friendly service, good vibe and nice vibe complete with with a few rope swings from he ceiling. And let's not forget the amazing foods!! Nice place to chill with friends. ", 5.0 star rating ,5,HIGH
315,01-01-2012,East,Major Territory,Caffe Mocha,Beans,Espresso,New York,Regular,100,170,105,44,172,128,155,237," 12/2/2016 Okay, so after visiting my friends in LA and trying a mint mojito iced coffee, I had to find one in Austin that's comparable. It was getting very difficult to find one to begin with, let alone a good one. I saw the mint coffee on the factory's website and had to try it. Unfortunately I was shell-shocked at the price tag ($7 if I remember correctly??)  I figured it would be a large drink and particularly fabulous and hopefully large to make up for the over the top price (this is $3 more than philz)   Was it particularly fabulous? No. It was good, it wasn't as good as philz. Was it bigger?? No. It was about 4 ounces of  coffee, tops. Will I be back? Absolutely not, especially considering I can get a 20 oz mint mojito coffee from tea haus for $3 less that tastes just as good.  This place is also self service (for ordering and pick up), why that would lead to inflated price and not a price decrease is far beyond my understanding. I don't recommend it. ", 1.0 star rating ,1,LOW
978,01-01-2012,East,Major Territory,Regular Espresso,Beans,Espresso,Massachusetts,Regular,160,110,170,171,100,71,16,221," 11/9/2016 1 check-in Guys, this place is amazing. Limited food menu but both food offerings will blow you away! Crazy good spices on the food. The coffee and matcha were both stellar as well. Service was friendly and efficient. The space is stunning and vibe. Highly recommend. Will be my new go-to relaxation spot in the area. ", 5.0 star rating ,5,HIGH
631,01-01-2012,East,Major Territory,Regular Espresso,Beans,Espresso,New York,Regular,210,200,228,262,175,87,109,83," 12/2/2016 What a fantastic vibe. I dropped in to catch up on some work and found a fantastic vibe and a great service. I wish I could work here every day. I had the Darling pour-over and olive food, and camped out near the pop-art fabric fire in the fireplace nook. Wallace (owner) and his team were spot-on with service and help. Full disclosure: The place is so beautiful on the inside that I Instagrammed it - couldn't help it, I claimed it for my own, like dozens of other folks. Highly recommended, so get here when you can! ", 5.0 star rating ,5,HIGH
409,01-01-2012,South,Major Territory,Colombian,Beans,Coffee,Texas,Regular,260,220,207,245,159,86,69,219," 12/1/2016 This place is amazing! No internet, but that's fine. it's meant to be a place to hang out with friends, socialize or by yourself reading a good book! ", 5.0 star rating ,5,HIGH
830,01-01-2012,South,Major Territory,Caffe Latte,Beans,Espresso,Texas,Regular,60,50,72,108,53,55,36,264," 11/11/2016 I never write Yelp reviews, ever. But when I parkinged in here it felt like I was in a hipster Alice in wonderland. The vibe is spot on and they left no details out. The Marymint Monroe is really amazing and the food and food is really good. The service is so wonderful too, you could tell they really love what they're doing. The swings are a nice touch too! ", 5.0 star rating ,5,HIGH
325,01-01-2012,South,Major Territory,Caffe Mocha,Beans,Espresso,Texas,Regular,70,90,89,130,95,35,63,206," 11/9/2016 Really cute and heavily hipster vibe. We tried this place late night on Saturday and enjoyed the first visit. You will want to try their swing for sure. seatinging space is somewhat limited and no internet is available, so be aware. This is more like a place for you to enjoy its vibe. Drinks were good, though make sure you have enough in your bank account because their drinks are probably not for broke college students. That swing! ", 4.0 star rating ,4,HIGH
916,01-01-2012,West,Major Territory,Amaretto,Beans,Coffee,California,Regular,110,30,95,50,2,52,203,114, 10/13/2016 1 check-in I really enjoyed my visit here. I ordered the coffee and food food. Both were excellent.  The space is very Instagram worthy.  Awesome mural. service was very friendly too and I loved the iPad ordering system. food food and coffee paired with sparkling water to cleanse the palate , 5.0 star rating ,5,HIGH
559,01-01-2012,West,Major Territory,Colombian,Beans,Coffee,California,Regular,340,370,271,407,262,145,167,101," 11/10/2016 7 check-ins The Factory Cafe is overall such a beautiful and really cool place to just hang out with friends or work on homework. You'll probably see the vibe around you taking the time to perfect their aesthetic Instagram pictures and Snapchat stories (myself included). Although the cafe itself doesn't provide internet, it's within range of other places with internet so that shouldn't deter you from going! This place looks like it literally came straight off of Pinterest! So cute! ", 5.0 star rating ,5,HIGH
661,01-01-2012,West,Major Territory,Caffe Latte,Beans,Espresso,California,Regular,210,150,228,228,140,88,294,180," 11/23/2016 1 check-in My best friend and I came to The Factory after seeing it on a couple of best new Austin food lists. It's super cute and trendy, to the point where it feels kind of out of place in a strip mall. Although I loved the interior design and general vibe of the place, I was a little disappointed with the menu. This is more of a coffee shop than a cafe - their food options are pretty limited. My friend ordered the food and foods and I ordered Nutella foods with strawberries and bananas. For the price I paid, the portions were definitely on the smaller side. I enjoyed my food still, but it's hard to mess up Nutella and fruit, so I wasn't particularly impressed. I would love to come back to study sometime but since they don't have internet, I don't think it'll be likely. ", 3.0 star rating ,3,LOW
818,01-01-2012,West,Major Territory,Caffe Mocha,Beans,Espresso,California,Regular,100,20,105,145,17,128,86,222," 10/16/2016 My only complaint and desire and heart wish is for this place to be hours longer and to allow for internet. This place makes my heart happy, it motivates me to study because I want to come here, and it makes me wish I had time to settle and read a wonderful book. The vibe is PERFECT, the workers are GENEROUS AND KIND, it's a beautiful place to be. ", 5.0 star rating ,5,HIGH
970,01-01-2012,Central,Major Territory,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,140,110,170,171,99,72,54,295," 10/7/2016 1 check-in Came in on the first day of hoursing, hours currently 6am-2pm. At some point they'll stay hours till 12 midnight. I think this might be the most beautiful cafe in Austin, the interior is charming, snazzy, vibe. There's even a pair of swings to sit on while you enjoy your coffee and play a game of chess. I ordered the Marymint Monroe, basically a mint mojito. It's been a while since I've been to Philz coffee so it's hard to compare, but I think the Marymint is a little creamier. Also had the banana nutella food, bananas and nutella are always a winning combination, can't go wrong there. No internet yet but I'm sure it will come soon. Friendly service, delicious offerings, antique filament lightbulbs and best of all, Bieber and MJ high above on a mural watching over you. This place is aces. Golden age of milk tea See all photos from Khang H. for The Factory - Cafe With a Soul ", 5.0 star rating ,5,HIGH
312,01-01-2012,Central,Major Territory,Chamomile,Leaves,Herbal Tea,Illinois,Decaf,70,100,89,130,95,35,60,16," 11/2/2016 Interesting new coffee place with a vibe that blends posh, hipster, and comfy.  Medium roasted beans have a milder, sweeter flavor than your typical Starbucks coffee shot, so be aware that the coffee tastes less bitter but packs more of a coffee punch!  This place has homemade pop tarts! ", 4.0 star rating ,4,HIGH
937,01-01-2012,Central,Major Territory,Chamomile,Leaves,Herbal Tea,Ohio,Decaf,20,50,32,48,29,19,41,166," 10/15/2016 This place is really nice. They have done a great service... It's the type of place that you could spend hours in. They have a small menu right now, but their drinks, foods, and food are really well made. We'll definitely be coming back soon.... like tomorrow. Viva Matcha coffee and Pop-art ", 5.0 star rating ,5,HIGH
719,01-01-2012,Central,Major Territory,Lemon,Leaves,Herbal Tea,Colorado,Decaf,50,20,63,87,0,87,42,206," 10/18/2016 I got food wasted at The Factory!!! Not your average coffee shop! Super social without internet, novel idea! ", 5.0 star rating ,5,HIGH
630,01-01-2012,Central,Major Territory,Lemon,Leaves,Herbal Tea,Illinois,Decaf,70,60,83,107,68,39,141,12," 12/2/2016 A cafe that doesn't have internet but makes you order from an iPad. Seriously? $2 extra for almond milk?! The coffee was already $5 for 12 oz. Don't expect to have a lot of Vegan vibe. There's a serious lack of customer service for the  bad price food and beverages.  You order from an iPad, and they call out your drink. There is no interaction between the customer and service, and they still expect a tip? This cafe also advertises that they have games. There are two games, chess and tick tax toe. It is a beautiful cafe, with very cool furnishings. However I wont be going back. ", 1.0 star rating ,1,LOW
740,01-01-2012,Central,Major Territory,Lemon,Leaves,Herbal Tea,Ohio,Decaf,20,50,32,48,29,19,242,198," 11/14/2016 Honestly, this place is having an identity crisis. Not a great place for a date or to meet a friend - very cute vibe (props to the designer), but vibe is a bit all over the place, and for the price I would go somewhere else. Not really a family place, at least not for all families since bathrooms have framed vibe of sexual positions. Lights get turned down around 9pm (but they stay hours till 2), so if you wanted to stop by to get a bit of reading done, you're out of luck. It is also not a alcohol/coffee lounge like Thunderbird. Menu is very limited, and if you were in the mood for a treat, I'd recommend Quacks. If they wanted to expand the menu, ipad ordering would have to go.  Which is sad since it's very cute, and we need more chill places to hang out in the evenings away from the University area.  Matcha was good. I hope the services will rethink their direction. Would I come back? Eeh, too many other treats to entice my attention. ", 2.0 star rating ,2,LOW
970,01-01-2012,Central,Major Territory,Mint,Leaves,Herbal Tea,Colorado,Decaf,50,40,60,80,33,47,124,73, 10/7/2016 1 check-in Marymint Monroe  + food and foods samich = my favorite cafe in Austin.  ... Ohhh and vibe is pretty sweet too , 5.0 star rating ,5,HIGH
773,01-01-2012,Central,Major Territory,Mint,Leaves,Herbal Tea,Illinois,Decaf,80,100,95,139,101,38,273,29," 11/22/2016 Cute, eclectic furniture and lots of things to do! Gorgeous seating vignettes, lots of space, classy vibe. Only thing to watch out for--no internet...not really a place to do work or study, but great place to chill! My friends and I (6 of us total) found space to play a board game, and had a blast! ", 5.0 star rating ,5,HIGH
863,01-01-2012,East,Major Territory,Chamomile,Leaves,Herbal Tea,Florida,Decaf,30,30,48,62,34,28,12,142, 11/21/2016 1 check-in This place is fantastic! Ideal place for grabbing a frothy matcha coffee and a food & food. A bit different in the way that you order. Definitely a nice hang-out for millenials or anyone who works in the area and is on a food break. internet is within reach but they don't have it themselves. , 5.0 star rating ,5,HIGH
