AreaCode,Date,Territory,TerritorySize,Product,ProductLine,ProductType,State,Type,BudgetCOGS,BudgetProfit,COGS,Margin,Profit,TotalExpenses,sales,Marketing
217,01-01-2012,Central,Major Territory,Darjeeling,Leaves,Tea,Illinois,Regular,40,50,54,80,53,27,65,289
567,01-01-2012,Central,Major Territory,Darjeeling,Leaves,Tea,Ohio,Regular,70,60,84,126,68,58,17,74
303,01-01-2012,Central,Major Territory,Earl Grey,Leaves,Tea,Colorado,Regular,50,40,64,76,36,40,45,259
708,01-01-2012,Central,Major Territory,Earl Grey,Leaves,Tea,Illinois,Regular,60,40,72,108,54,54,127,83
216,01-01-2012,Central,Major Territory,Earl Grey,Leaves,Tea,Ohio,Regular,70,60,84,116,67,49,52,170
303,01-01-2012,Central,Major Territory,Green Tea,Leaves,Tea,Colorado,Regular,30,30,44,56,30,26,70,142
954,01-01-2012,East,Major Territory,Darjeeling,Leaves,Tea,Florida,Regular,30,40,32,48,28,20,117,61
508,01-01-2012,East,Major Territory,Darjeeling,Leaves,Tea,Massachusetts,Regular,30,40,32,48,29,19,200,29
347,01-01-2012,East,Major Territory,Darjeeling,Leaves,Tea,New York,Regular,100,120,95,139,101,38,291,261
646,01-01-2012,East,Major Territory,Earl Grey,Leaves,Tea,New York,Regular,90,110,89,130,94,36,116,58
754,01-01-2012,East,Major Territory,Green Tea,Leaves,Tea,Florida,Regular,30,40,33,48,28,20,13,102
781,01-01-2012,East,Major Territory,Green Tea,Leaves,Tea,Massachusetts,Regular,30,40,32,48,29,19,54,91
347,01-01-2012,East,Major Territory,Green Tea,Leaves,Tea,New York,Regular,50,70,54,80,54,26,22,88
619,01-01-2012,West,Major Territory,Darjeeling,Leaves,Tea,California,Regular,50,80,89,130,94,36,32,291
650,01-01-2012,West,Major Territory,Earl Grey,Leaves,Tea,California,Regular,30,60,54,80,54,26,267,86
760,01-01-2012,West,Major Territory,Green Tea,Leaves,Tea,California,Regular,40,50,72,108,54,54,287,242
712,01-01-2012,Central,Small Territory,Decaf Irish Cream,Beans,Coffee,Iowa,Decaf,20,20,23,31,12,19,288,205
573,01-01-2012,Central,Small Territory,Decaf Irish Cream,Beans,Coffee,Missouri,Decaf,80,50,78,92,47,45,67,285
414,01-01-2012,Central,Small Territory,Decaf Irish Cream,Beans,Coffee,Wisconsin,Decaf,80,60,77,103,51,52,265,198
563,01-01-2012,Central,Small Territory,Decaf Espresso,Beans,Espresso,Iowa,Decaf,10,30,17,26,10,16,47,270
660,01-01-2012,Central,Small Territory,Decaf Espresso,Beans,Espresso,Missouri,Decaf,50,60,46,68,45,23,168,101
262,01-01-2012,Central,Small Territory,Decaf Espresso,Beans,Espresso,Wisconsin,Decaf,50,50,48,62,34,28,182,87
475,01-01-2012,East,Small Territory,Decaf Espresso,Beans,Espresso,Connecticut,Decaf,50,40,55,75,30,45,259,185
985,01-01-2012,South,Small Territory,Decaf Irish Cream,Beans,Coffee,Louisiana,Decaf,40,50,33,48,28,20,176,24
505,01-01-2012,South,Small Territory,Decaf Irish Cream,Beans,Coffee,New Mexico,Decaf,110,30,88,11,39,50,25,133
580,01-01-2012,South,Small Territory,Decaf Irish Cream,Beans,Coffee,Oklahoma,Decaf,40,50,32,48,28,20,210,241
337,01-01-2012,South,Small Territory,Decaf Espresso,Beans,Espresso,Louisiana,Decaf,50,50,61,89,48,41,145,59
505,01-01-2012,South,Small Territory,Decaf Espresso,Beans,Espresso,New Mexico,Decaf,30,10,35,47,9,38,173,255
405,01-01-2012,South,Small Territory,Decaf Espresso,Beans,Espresso,Oklahoma,Decaf,70,70,84,126,67,59,48,280
775,01-01-2012,West,Small Territory,Decaf Irish Cream,Beans,Coffee,Nevada,Decaf,30,20,28,34,4,30,98,158
971,01-01-2012,West,Small Territory,Decaf Irish Cream,Beans,Coffee,Oregon,Decaf,70,70,57,83,42,41,81,157
801,01-01-2012,West,Small Territory,Decaf Irish Cream,Beans,Coffee,Utah,Decaf,100,70,85,105,39,66,199,95
509,01-01-2012,West,Small Territory,Decaf Irish Cream,Beans,Coffee,Washington,Decaf,90,60,79,111,9,102,228,12
775,01-01-2012,West,Small Territory,Decaf Espresso,Beans,Espresso,Nevada,Decaf,10,20,17,26,11,15,137,160
971,01-01-2012,West,Small Territory,Decaf Espresso,Beans,Espresso,Oregon,Decaf,160,100,170,171,99,72,252,11
435,01-01-2012,West,Small Territory,Decaf Espresso,Beans,Espresso,Utah,Decaf,40,50,50,73,47,26,27,61
206,01-01-2012,West,Small Territory,Decaf Espresso,Beans,Espresso,Washington,Decaf,60,60,69,81,39,42,87,178
319,01-01-2012,Central,Small Territory,Amaretto,Beans,Coffee,Iowa,Regular,10,20,18,27,11,16,247,181
262,01-01-2012,Central,Small Territory,Amaretto,Beans,Coffee,Wisconsin,Regular,50,30,54,66,13,53,234,227
641,01-01-2012,Central,Small Territory,Colombian,Beans,Coffee,Iowa,Regular,20,20,28,34,5,29,243,75
636,01-01-2012,Central,Small Territory,Colombian,Beans,Coffee,Missouri,Regular,90,40,85,105,39,66,242,181
262,01-01-2012,Central,Small Territory,Colombian,Beans,Coffee,Wisconsin,Regular,80,20,79,111,9,102,74,71
563,01-01-2012,Central,Small Territory,Caffe Mocha,Beans,Espresso,Iowa,Regular,10,30,17,26,11,15,263,202
573,01-01-2012,Central,Small Territory,Caffe Mocha,Beans,Espresso,Missouri,Regular,50,70,50,73,48,25,173,203
414,01-01-2012,Central,Small Territory,Caffe Mocha,Beans,Espresso,Wisconsin,Regular,80,50,69,81,38,43,233,290
603,01-01-2012,East,Small Territory,Amaretto,Beans,Coffee,New Hampshire,Regular,30,30,38,55,20,35,49,151
475,01-01-2012,East,Small Territory,Colombian,Beans,Coffee,Connecticut,Regular,110,130,124,186,115,71,166,37
603,01-01-2012,East,Small Territory,Colombian,Beans,Coffee,New Hampshire,Regular,40,40,48,72,25,47,173,297
860,01-01-2012,East,Small Territory,Caffe Mocha,Beans,Espresso,Connecticut,Regular,70,20,75,105,7,98,246,46
603,01-01-2012,East,Small Territory,Caffe Mocha,Beans,Espresso,New Hampshire,Regular,30,0,37,53,10,63,73,158
603,01-01-2012,East,Small Territory,Regular Espresso,Beans,Espresso,New Hampshire,Regular,20,0,29,36,8,44,277,206
225,01-01-2012,South,Small Territory,Colombian,Beans,Coffee,Louisiana,Regular,40,50,34,51,30,21,35,166
505,01-01-2012,South,Small Territory,Colombian,Beans,Coffee,New Mexico,Regular,60,50,48,72,26,46,19,204
580,01-01-2012,South,Small Territory,Colombian,Beans,Coffee,Oklahoma,Regular,50,50,44,56,29,27,27,67
504,01-01-2012,South,Small Territory,Caffe Latte,Beans,Espresso,Louisiana,Regular,60,10,75,105,8,97,174,70
505,01-01-2012,South,Small Territory,Caffe Latte,Beans,Espresso,New Mexico,Regular,20,0,29,36,8,44,270,160
405,01-01-2012,South,Small Territory,Caffe Latte,Beans,Espresso,Oklahoma,Regular,70,70,84,116,66,50,224,97
337,01-01-2012,South,Small Territory,Caffe Mocha,Beans,Espresso,Louisiana,Regular,50,80,67,113,70,43,149,96
505,01-01-2012,South,Small Territory,Caffe Mocha,Beans,Espresso,New Mexico,Regular,30,10,37,53,10,63,268,280
405,01-01-2012,South,Small Territory,Caffe Mocha,Beans,Espresso,Oklahoma,Regular,20,40,32,48,28,20,10,130
541,01-01-2012,West,Small Territory,Amaretto,Beans,Coffee,Oregon,Regular,70,40,63,87,1,86,184,257
801,01-01-2012,West,Small Territory,Amaretto,Beans,Coffee,Utah,Regular,90,80,78,92,47,45,64,223
702,01-01-2012,West,Small Territory,Colombian,Beans,Coffee,Nevada,Regular,40,10,34,42,3,45,205,109
503,01-01-2012,West,Small Territory,Colombian,Beans,Coffee,Oregon,Regular,80,60,67,93,28,65,131,207
435,01-01-2012,West,Small Territory,Colombian,Beans,Coffee,Utah,Regular,60,70,55,75,30,45,165,120
206,01-01-2012,West,Small Territory,Colombian,Beans,Coffee,Washington,Regular,60,70,53,77,38,39,33,37
775,01-01-2012,West,Small Territory,Caffe Latte,Beans,Espresso,Nevada,Regular,10,20,17,26,11,15,180,84
503,01-01-2012,West,Small Territory,Caffe Latte,Beans,Espresso,Oregon,Regular,50,20,58,72,16,56,295,47
435,01-01-2012,West,Small Territory,Caffe Latte,Beans,Espresso,Utah,Regular,40,40,46,68,44,24,263,189
425,01-01-2012,West,Small Territory,Caffe Latte,Beans,Espresso,Washington,Regular,40,40,48,62,35,27,183,70
702,01-01-2012,West,Small Territory,Caffe Mocha,Beans,Espresso,Nevada,Regular,10,20,18,27,10,17,295,44
503,01-01-2012,West,Small Territory,Caffe Mocha,Beans,Espresso,Oregon,Regular,50,50,60,80,33,47,47,104
435,01-01-2012,West,Small Territory,Caffe Mocha,Beans,Espresso,Utah,Regular,40,40,49,63,34,29,29,31
253,01-01-2012,West,Small Territory,Caffe Mocha,Beans,Espresso,Washington,Regular,50,20,54,66,13,53,228,204
641,01-01-2012,Central,Small Territory,Chamomile,Leaves,Herbal Tea,Iowa,Decaf,200,200,234,312,202,110,267,102
573,01-01-2012,Central,Small Territory,Chamomile,Leaves,Herbal Tea,Missouri,Decaf,30,0,37,53,11,64,281,286
715,01-01-2012,Central,Small Territory,Chamomile,Leaves,Herbal Tea,Wisconsin,Decaf,50,80,67,113,70,43,144,251
563,01-01-2012,Central,Small Territory,Lemon,Leaves,Herbal Tea,Iowa,Decaf,80,90,95,139,86,53,193,215
314,01-01-2012,Central,Small Territory,Lemon,Leaves,Herbal Tea,Missouri,Decaf,70,20,88,11,39,50,249,148
715,01-01-2012,Central,Small Territory,Lemon,Leaves,Herbal Tea,Wisconsin,Decaf,20,50,33,48,28,20,138,126
860,01-01-2012,East,Small Territory,Lemon,Leaves,Herbal Tea,Connecticut,Decaf,60,40,85,105,40,65,103,10
603,01-01-2012,East,Small Territory,Lemon,Leaves,Herbal Tea,New Hampshire,Decaf,20,0,34,42,4,46,137,43
475,01-01-2012,East,Small Territory,Mint,Leaves,Herbal Tea,Connecticut,Decaf,50,50,78,92,47,45,14,241
337,01-01-2012,South,Small Territory,Chamomile,Leaves,Herbal Tea,Louisiana,Decaf,40,40,49,63,35,28,61,48
505,01-01-2012,South,Small Territory,Chamomile,Leaves,Herbal Tea,New Mexico,Decaf,10,20,18,27,11,16,202,242
918,01-01-2012,South,Small Territory,Chamomile,Leaves,Herbal Tea,Oklahoma,Decaf,50,20,54,66,13,53,87,170
504,01-01-2012,South,Small Territory,Lemon,Leaves,Herbal Tea,Louisiana,Decaf,80,40,85,105,40,65,212,140
505,01-01-2012,South,Small Territory,Lemon,Leaves,Herbal Tea,New Mexico,Decaf,20,20,28,34,4,30,276,20
580,01-01-2012,South,Small Territory,Lemon,Leaves,Herbal Tea,Oklahoma,Decaf,70,30,79,111,10,101,234,14
702,01-01-2012,West,Small Territory,Chamomile,Leaves,Herbal Tea,Nevada,Decaf,90,30,105,145,16,129,35,138
971,01-01-2012,West,Small Territory,Chamomile,Leaves,Herbal Tea,Oregon,Decaf,30,40,36,54,33,21,249,151
801,01-01-2012,West,Small Territory,Chamomile,Leaves,Herbal Tea,Utah,Decaf,30,30,38,55,21,34,15,276
206,01-01-2012,West,Small Territory,Chamomile,Leaves,Herbal Tea,Washington,Decaf,100,120,124,186,115,71,233,276
775,01-01-2012,West,Small Territory,Lemon,Leaves,Herbal Tea,Nevada,Decaf,120,120,144,201,111,90,281,70
503,01-01-2012,West,Small Territory,Lemon,Leaves,Herbal Tea,Oregon,Decaf,30,30,44,56,29,27,120,255
435,01-01-2012,West,Small Territory,Lemon,Leaves,Herbal Tea,Utah,Decaf,40,30,48,72,25,47,248,175
360,01-01-2012,West,Small Territory,Lemon,Leaves,Herbal Tea,Washington,Decaf,20,50,34,51,30,21,152,203
702,01-01-2012,West,Small Territory,Mint,Leaves,Herbal Tea,Nevada,Decaf,80,90,95,139,86,53,267,261
435,01-01-2012,West,Small Territory,Mint,Leaves,Herbal Tea,Utah,Decaf,70,30,88,11,40,51,206,13
712,01-01-2012,Central,Small Territory,Darjeeling,Leaves,Tea,Iowa,Regular,190,140,228,228,141,87,106,92
314,01-01-2012,Central,Small Territory,Darjeeling,Leaves,Tea,Missouri,Regular,30,10,35,47,9,38,86,199
608,01-01-2012,Central,Small Territory,Darjeeling,Leaves,Tea,Wisconsin,Regular,50,50,61,89,47,42,284,121
319,01-01-2012,Central,Small Territory,Earl Grey,Leaves,Tea,Iowa,Regular,210,160,245,301,175,126,239,216
573,01-01-2012,Central,Small Territory,Earl Grey,Leaves,Tea,Missouri,Regular,20,10,29,36,9,45,135,92
262,01-01-2012,Central,Small Territory,Earl Grey,Leaves,Tea,Wisconsin,Regular,60,10,75,105,7,98,223,140
417,01-01-2012,Central,Small Territory,Green Tea,Leaves,Tea,Missouri,Regular,20,0,34,42,4,46,198,245
475,01-01-2012,East,Small Territory,Darjeeling,Leaves,Tea,Connecticut,Regular,50,60,50,73,47,26,97,216
603,01-01-2012,East,Small Territory,Darjeeling,Leaves,Tea,New Hampshire,Regular,10,20,18,27,10,17,98,176
475,01-01-2012,East,Small Territory,Green Tea,Leaves,Tea,Connecticut,Regular,40,40,38,56,35,21,126,103
603,01-01-2012,East,Small Territory,Green Tea,Leaves,Tea,New Hampshire,Regular,10,20,17,26,11,15,56,258
775,01-01-2012,West,Small Territory,Darjeeling,Leaves,Tea,Nevada,Regular,150,150,234,312,203,109,19,229
971,01-01-2012,West,Small Territory,Darjeeling,Leaves,Tea,Oregon,Regular,20,30,32,48,28,20,296,24
435,01-01-2012,West,Small Territory,Darjeeling,Leaves,Tea,Utah,Regular,20,0,37,53,10,63,143,142
360,01-01-2012,West,Small Territory,Darjeeling,Leaves,Tea,Washington,Regular,40,50,67,113,70,43,42,269
775,01-01-2012,West,Small Territory,Earl Grey,Leaves,Tea,Nevada,Regular,150,100,228,228,141,87,68,96
503,01-01-2012,West,Small Territory,Earl Grey,Leaves,Tea,Oregon,Regular,50,60,84,126,68,58,24,158
435,01-01-2012,West,Small Territory,Earl Grey,Leaves,Tea,Utah,Regular,20,10,35,47,9,38,118,200
253,01-01-2012,West,Small Territory,Earl Grey,Leaves,Tea,Washington,Regular,40,40,61,89,48,41,23,216
702,01-01-2012,West,Small Territory,Green Tea,Leaves,Tea,Nevada,Regular,160,240,245,245,354,126,90,81
541,01-01-2012,West,Small Territory,Green Tea,Leaves,Tea,Oregon,Regular,50,50,84,116,67,49,188,233
435,01-01-2012,West,Small Territory,Green Tea,Leaves,Tea,Utah,Regular,10,10,29,36,9,45,188,226
360,01-01-2012,West,Small Territory,Green Tea,Leaves,Tea,Washington,Regular,40,20,75,105,8,97,211,278
719,01-02-2012,Central,Major Territory,Decaf Irish Cream,Beans,Coffee,Colorado,Decaf,100,110,95,137,99,38,166,228
847,01-02-2012,Central,Major Territory,Decaf Irish Cream,Beans,Coffee,Illinois,Decaf,110,100,104,150,95,55,134,67
614,01-02-2012,Central,Major Territory,Decaf Irish Cream,Beans,Coffee,Ohio,Decaf,50,20,54,75,3,78,209,255
303,01-02-2012,Central,Major Territory,Decaf Espresso,Beans,Espresso,Colorado,Decaf,80,90,75,114,59,55,193,224
312,01-02-2012,Central,Major Territory,Decaf Espresso,Beans,Espresso,Illinois,Decaf,260,180,228,229,142,87,25,236
614,01-02-2012,Central,Major Territory,Decaf Espresso,Beans,Espresso,Ohio,Decaf,60,40,59,73,18,55,35,170
305,01-02-2012,East,Major Territory,Decaf Irish Cream,Beans,Coffee,Florida,Decaf,80,70,86,120,71,49,134,220
407,01-02-2012,East,Major Territory,Decaf Espresso,Beans,Espresso,Florida,Decaf,70,60,77,103,51,52,111,86
432,01-02-2012,South,Major Territory,Decaf Irish Cream,Beans,Coffee,Texas,Decaf,100,100,83,107,68,39,40,107
956,01-02-2012,South,Major Territory,Decaf Espresso,Beans,Espresso,Texas,Decaf,60,90,77,112,80,32,33,211
818,01-02-2012,West,Major Territory,Decaf Irish Cream,Beans,Coffee,California,Decaf,180,110,148,26,117,91,97,181
951,01-02-2012,West,Major Territory,Decaf Espresso,Beans,Espresso,California,Decaf,220,200,234,311,202,109,172,141
303,01-02-2012,Central,Major Territory,Amaretto,Beans,Coffee,Colorado,Regular,100,120,99,144,105,39,77,270
937,01-02-2012,Central,Major Territory,Amaretto,Beans,Coffee,Ohio,Regular,60,50,60,80,33,47,31,46
720,01-02-2012,Central,Major Territory,Colombian,Beans,Coffee,Colorado,Regular,80,80,83,107,68,39,25,64
312,01-02-2012,Central,Major Territory,Colombian,Beans,Coffee,Illinois,Regular,150,140,148,206,115,91,57,220
513,01-02-2012,Central,Major Territory,Colombian,Beans,Coffee,Ohio,Regular,50,50,52,76,38,38,168,32
970,01-02-2012,Central,Major Territory,Caffe Mocha,Beans,Espresso,Colorado,Regular,80,110,77,112,80,32,201,131
708,01-02-2012,Central,Major Territory,Caffe Mocha,Beans,Espresso,Illinois,Regular,270,260,234,311,201,110,34,299
234,01-02-2012,Central,Major Territory,Caffe Mocha,Beans,Espresso,Ohio,Regular,190,140,170,170,98,72,283,149
754,01-02-2012,East,Major Territory,Colombian,Beans,Coffee,Florida,Regular,70,80,80,120,63,57,118,160
774,01-02-2012,East,Major Territory,Colombian,Beans,Coffee,Massachusetts,Regular,70,330,75,395,340,55,99,209
917,01-02-2012,East,Major Territory,Colombian,Beans,Coffee,New York,Regular,240,250,258,387,245,142,41,162
305,01-02-2012,East,Major Territory,Caffe Mocha,Beans,Espresso,Florida,Regular,80,40,92,128,16,112,198,83
508,01-02-2012,East,Major Territory,Caffe Mocha,Beans,Espresso,Massachusetts,Regular,50,10,54,74,4,78,138,102
585,01-02-2012,East,Major Territory,Caffe Mocha,Beans,Espresso,New York,Regular,110,190,121,60,203,143,172,272
508,01-02-2012,East,Major Territory,Regular Espresso,Beans,Espresso,Massachusetts,Regular,160,110,170,170,99,71,55,80
585,01-02-2012,East,Major Territory,Regular Espresso,Beans,Espresso,New York,Regular,210,280,228,352,264,88,129,274
972,01-02-2012,South,Major Territory,Colombian,Beans,Coffee,Texas,Regular,260,240,213,252,164,88,279,161
512,01-02-2012,South,Major Territory,Caffe Latte,Beans,Espresso,Texas,Regular,60,60,75,114,58,56,107,62
903,01-02-2012,South,Major Territory,Caffe Mocha,Beans,Espresso,Texas,Regular,80,100,99,144,106,38,179,273
909,01-02-2012,West,Major Territory,Amaretto,Beans,Coffee,California,Regular,130,20,104,28,27,55,70,204
415,01-02-2012,West,Major Territory,Colombian,Beans,Coffee,California,Regular,320,360,258,387,245,142,243,290
831,01-02-2012,West,Major Territory,Caffe Latte,Beans,Espresso,California,Regular,210,150,228,229,142,87,229,167
916,01-02-2012,West,Major Territory,Caffe Mocha,Beans,Espresso,California,Regular,110,30,121,169,26,143,281,261
970,01-02-2012,Central,Major Territory,Chamomile,Leaves,Herbal Tea,Colorado,Decaf,140,100,170,170,99,71,163,166
815,01-02-2012,Central,Major Territory,Chamomile,Leaves,Herbal Tea,Illinois,Decaf,80,110,99,144,105,39,290,107
330,01-02-2012,Central,Major Territory,Chamomile,Leaves,Herbal Tea,Ohio,Decaf,10,30,22,34,17,17,264,70
970,01-02-2012,Central,Major Territory,Lemon,Leaves,Herbal Tea,Colorado,Decaf,40,10,54,75,3,78,137,191
773,01-02-2012,Central,Major Territory,Lemon,Leaves,Herbal Tea,Illinois,Decaf,70,60,83,107,68,39,90,126
740,01-02-2012,Central,Major Territory,Lemon,Leaves,Herbal Tea,Ohio,Decaf,20,50,32,48,28,20,261,19
303,01-02-2012,Central,Major Territory,Mint,Leaves,Herbal Tea,Colorado,Decaf,50,40,60,80,33,47,79,286
847,01-02-2012,Central,Major Territory,Mint,Leaves,Herbal Tea,Illinois,Decaf,80,100,95,137,99,38,179,296
754,01-02-2012,East,Major Territory,Chamomile,Leaves,Herbal Tea,Florida,Decaf,30,30,48,62,34,28,49,117
727,01-02-2012,East,Major Territory,Lemon,Leaves,Herbal Tea,Florida,Decaf,40,20,53,65,12,53,130,66
781,01-02-2012,East,Major Territory,Lemon,Leaves,Herbal Tea,Massachusetts,Decaf,40,30,59,73,18,55,211,102
518,01-02-2012,East,Major Territory,Lemon,Leaves,Herbal Tea,New York,Decaf,180,110,240,255,131,124,27,31
850,01-02-2012,East,Major Territory,Mint,Leaves,Herbal Tea,Florida,Decaf,50,50,70,84,42,42,107,253
607,01-02-2012,East,Major Territory,Mint,Leaves,Herbal Tea,New York,Decaf,160,80,213,33,120,87,162,129
214,01-02-2012,South,Major Territory,Chamomile,Leaves,Herbal Tea,Texas,Decaf,50,50,60,80,33,47,163,182
432,01-02-2012,South,Major Territory,Lemon,Leaves,Herbal Tea,Texas,Decaf,40,50,52,76,38,38,300,130
949,01-02-2012,West,Major Territory,Chamomile,Leaves,Herbal Tea,California,Decaf,80,100,95,137,100,37,104,222
714,01-02-2012,West,Major Territory,Lemon,Leaves,Herbal Tea,California,Decaf,180,160,213,252,164,88,51,91
530,01-02-2012,West,Major Territory,Mint,Leaves,Herbal Tea,California,Decaf,70,60,83,107,68,39,97,63
