uniqueID,drugName,condition,rating,date,usefulCount
47,Medroxyprogesterone,Abnormal Uterine Bleeding,1,13-Nov-15,7
52,Medroxyprogesterone,Birth Control,10,05-Jan-16,5
55,Medroxyprogesterone,Abnormal Uterine Bleeding,8,04-Jan-16,5
58,Medroxyprogesterone,Abnormal Uterine Bleeding,1,02-Jan-16,13
59,Medroxyprogesterone,Abnormal Uterine Bleeding,1,30-Dec-15,9
60,Medroxyprogesterone,Birth Control,5,28-Dec-15,4
61,Medroxyprogesterone,Birth Control,1,27-Dec-15,3
62,Medroxyprogesterone,Abnormal Uterine Bleeding,1,27-Dec-15,1
63,Medroxyprogesterone,Birth Control,1,24-Dec-15,4
66,Medroxyprogesterone,Abnormal Uterine Bleeding,4,21-Dec-15,17
67,Medroxyprogesterone,Abnormal Uterine Bleeding,1,20-Dec-15,8
68,Medroxyprogesterone,Birth Control,1,19-Dec-15,4
69,Medroxyprogesterone,Abnormal Uterine Bleeding,5,18-Dec-15,11
71,Medroxyprogesterone,Birth Control,1,17-Dec-15,0
72,Medroxyprogesterone,Birth Control,8,17-Dec-15,0
74,Medroxyprogesterone,Birth Control,10,15-Dec-15,5
77,Medroxyprogesterone,Birth Control,1,11-Nov-15,2
78,Medroxyprogesterone,Birth Control,2,11-Nov-15,2
80,Medroxyprogesterone,Abnormal Uterine Bleeding,5,09-Nov-15,6
81,Medroxyprogesterone,Abnormal Uterine Bleeding,1,09-Nov-15,4
82,Medroxyprogesterone,Abnormal Uterine Bleeding,1,08-Nov-15,19
83,Medroxyprogesterone,Birth Control,7,08-Nov-15,4
84,Medroxyprogesterone,Abnormal Uterine Bleeding,1,06-Nov-15,8
85,Medroxyprogesterone,Abnormal Uterine Bleeding,1,05-Nov-15,7
86,Medroxyprogesterone,Abnormal Uterine Bleeding,9,05-Nov-15,11
87,Medroxyprogesterone,Birth Control,1,05-Nov-15,3
88,Medroxyprogesterone,Birth Control,8,03-Nov-15,8
89,Medroxyprogesterone,Birth Control,10,03-Nov-15,4
91,Medroxyprogesterone,Birth Control,10,02-Nov-15,2
92,Medroxyprogesterone,Abnormal Uterine Bleeding,7,01-Nov-15,12
93,Medroxyprogesterone,Abnormal Uterine Bleeding,8,01-Nov-15,15
94,Medroxyprogesterone,Abnormal Uterine Bleeding,5,30-Oct-15,6
95,Medroxyprogesterone,Abnormal Uterine Bleeding,1,30-Oct-15,11
96,Medroxyprogesterone,Abnormal Uterine Bleeding,9,30-Oct-15,31
99,Medroxyprogesterone,Birth Control,3,28-Oct-15,0
100,Medroxyprogesterone,Birth Control,5,17-Aug-15,2
101,Medroxyprogesterone,Birth Control,10,15-Aug-15,17
102,Medroxyprogesterone,Birth Control,10,14-Aug-15,5
103,Medroxyprogesterone,Birth Control,2,14-Aug-15,7
104,Medroxyprogesterone,Endometriosis,1,13-Aug-15,18
106,Medroxyprogesterone,Birth Control,10,10-Aug-15,1
107,Medroxyprogesterone,Birth Control,4,10-Aug-15,1
108,Medroxyprogesterone,Abnormal Uterine Bleeding,5,10-Aug-15,10
110,Medroxyprogesterone,Abnormal Uterine Bleeding,1,09-Aug-15,24
111,Medroxyprogesterone,Abnormal Uterine Bleeding,4,09-Aug-15,33
112,Medroxyprogesterone,Abnormal Uterine Bleeding,1,08-Aug-15,23
113,Medroxyprogesterone,Amenorrhea,6,07-Aug-15,12
114,Medroxyprogesterone,Abnormal Uterine Bleeding,1,07-Aug-15,24
115,Medroxyprogesterone,Birth Control,2,06-Aug-15,5
116,Medroxyprogesterone,Amenorrhea,7,06-Aug-15,9
117,Medroxyprogesterone,Birth Control,1,03-Aug-15,8
118,Medroxyprogesterone,Abnormal Uterine Bleeding,1,03-Aug-15,51
119,Medroxyprogesterone,Abnormal Uterine Bleeding,10,01-Aug-15,56
120,Medroxyprogesterone,Birth Control,8,01-Aug-15,8
121,Medroxyprogesterone,Birth Control,5,31-Jul-15,1
122,Medroxyprogesterone,Birth Control,5,26-Jul-15,1
123,Medroxyprogesterone,Abnormal Uterine Bleeding,1,26-Jul-15,10
124,Medroxyprogesterone,Abnormal Uterine Bleeding,1,25-Jul-15,14
126,Medroxyprogesterone,Abnormal Uterine Bleeding,1,12-Dec-15,19
127,Medroxyprogesterone,Birth Control,1,12-Dec-15,4
128,Medroxyprogesterone,Abnormal Uterine Bleeding,1,12-Dec-15,34
129,Medroxyprogesterone,Abnormal Uterine Bleeding,10,11-Dec-15,27
132,Medroxyprogesterone,Endometriosis,5,09-Dec-15,4
134,Medroxyprogesterone,Birth Control,1,08-Dec-15,1
135,Medroxyprogesterone,Abnormal Uterine Bleeding,8,08-Dec-15,6
137,Medroxyprogesterone,Endometriosis,2,07-Dec-15,5
138,Medroxyprogesterone,Abnormal Uterine Bleeding,6,07-Dec-15,6
139,Medroxyprogesterone,Birth Control,2,06-Dec-15,3
140,Medroxyprogesterone,Birth Control,1,04-Dec-15,5
141,Medroxyprogesterone,Abnormal Uterine Bleeding,1,04-Dec-15,21
143,Medroxyprogesterone,Birth Control,7,02-Dec-15,4
144,Medroxyprogesterone,Birth Control,8,01-Dec-15,3
148,Medroxyprogesterone,Birth Control,3,27-Nov-15,3
151,Medroxyprogesterone,Abnormal Uterine Bleeding,10,27-Sep-15,12
152,Medroxyprogesterone,Abnormal Uterine Bleeding,1,25-Sep-15,17
153,Medroxyprogesterone,Birth Control,1,23-Sep-15,1
156,Medroxyprogesterone,Amenorrhea,7,22-Sep-15,24
159,Medroxyprogesterone,Abnormal Uterine Bleeding,9,19-Sep-15,35
160,Medroxyprogesterone,Abnormal Uterine Bleeding,1,18-Sep-15,19
161,Medroxyprogesterone,Birth Control,9,18-Sep-15,5
162,Medroxyprogesterone,Abnormal Uterine Bleeding,2,17-Sep-15,6
163,Medroxyprogesterone,Abnormal Uterine Bleeding,3,17-Sep-15,15
164,Medroxyprogesterone,Abnormal Uterine Bleeding,1,16-Sep-15,7
166,Medroxyprogesterone,Birth Control,1,14-Sep-15,1
167,Medroxyprogesterone,Birth Control,4,13-Sep-15,3
168,Medroxyprogesterone,Abnormal Uterine Bleeding,1,13-Sep-15,16
170,Medroxyprogesterone,Abnormal Uterine Bleeding,5,11-Sep-15,8
171,Medroxyprogesterone,Birth Control,1,11-Sep-15,4
172,Medroxyprogesterone,Abnormal Uterine Bleeding,1,11-Sep-15,8
174,Medroxyprogesterone,Abnormal Uterine Bleeding,10,08-Sep-15,25
176,Medroxyprogesterone,Abnormal Uterine Bleeding,1,07-Sep-15,14
177,Medroxyprogesterone,Abnormal Uterine Bleeding,10,03-Sep-15,20
178,Medroxyprogesterone,Abnormal Uterine Bleeding,3,03-Sep-15,9
183,Medroxyprogesterone,Abnormal Uterine Bleeding,1,29-Aug-15,10
185,Medroxyprogesterone,Birth Control,8,28-Aug-15,2
187,Medroxyprogesterone,Abnormal Uterine Bleeding,1,27-Aug-15,5
188,Medroxyprogesterone,Abnormal Uterine Bleeding,1,25-Aug-15,5
189,Medroxyprogesterone,Abnormal Uterine Bleeding,1,25-Aug-15,6
190,Medroxyprogesterone,Abnormal Uterine Bleeding,1,25-Aug-15,3
191,Medroxyprogesterone,Abnormal Uterine Bleeding,1,24-Aug-15,14
192,Medroxyprogesterone,Abnormal Uterine Bleeding,1,24-Aug-15,20
193,Medroxyprogesterone,Birth Control,8,24-Aug-15,3
194,Medroxyprogesterone,Abnormal Uterine Bleeding,1,24-Aug-15,15
195,Medroxyprogesterone,Abnormal Uterine Bleeding,1,22-Aug-15,9
197,Medroxyprogesterone,Birth Control,10,20-Aug-15,5
198,Medroxyprogesterone,Abnormal Uterine Bleeding,1,19-Aug-15,6
199,Medroxyprogesterone,Birth Control,1,19-Aug-15,7
201,Medroxyprogesterone,Abnormal Uterine Bleeding,1,08-Oct-15,9
202,Medroxyprogesterone,Abnormal Uterine Bleeding,1,08-Oct-15,4
203,Medroxyprogesterone,Abnormal Uterine Bleeding,1,08-Oct-15,11
204,Medroxyprogesterone,Birth Control,9,08-Oct-15,5
206,Medroxyprogesterone,Birth Control,1,06-Oct-15,8
207,Medroxyprogesterone,Birth Control,5,06-Oct-15,6
208,Medroxyprogesterone,Abnormal Uterine Bleeding,1,06-Oct-15,24
209,Medroxyprogesterone,Abnormal Uterine Bleeding,1,06-Oct-15,9
213,Medroxyprogesterone,Abnormal Uterine Bleeding,8,05-Oct-15,0
218,Medroxyprogesterone,Abnormal Uterine Bleeding,1,01-Oct-15,5
219,Medroxyprogesterone,Amenorrhea,5,30-Sep-15,10
220,Medroxyprogesterone,Abnormal Uterine Bleeding,1,30-Sep-15,7
222,Medroxyprogesterone,Birth Control,1,29-Sep-15,5
223,Medroxyprogesterone,Birth Control,1,29-Sep-15,7
224,Medroxyprogesterone,Birth Control,5,29-Sep-15,5
226,Medroxyprogesterone,Birth Control,1,25-Jun-15,7
227,Medroxyprogesterone,Birth Control,10,25-Jun-15,7
228,Medroxyprogesterone,Abnormal Uterine Bleeding,1,25-Jun-15,26
230,Medroxyprogesterone,Birth Control,9,22-Jun-15,6
231,Medroxyprogesterone,Abnormal Uterine Bleeding,1,21-Jun-15,12
232,Medroxyprogesterone,Birth Control,5,21-Jun-15,11
235,Medroxyprogesterone,Birth Control,1,18-Jun-15,8
236,Medroxyprogesterone,Abnormal Uterine Bleeding,1,18-Jun-15,18
237,Medroxyprogesterone,Birth Control,5,14-Jun-15,10
239,Medroxyprogesterone,Birth Control,1,12-Jun-15,5
241,Medroxyprogesterone,Abnormal Uterine Bleeding,6,10-Jun-15,40
242,Medroxyprogesterone,Birth Control,2,09-Jun-15,9
244,Medroxyprogesterone,Abnormal Uterine Bleeding,10,06-Jun-15,21
245,Medroxyprogesterone,Abnormal Uterine Bleeding,6,05-Jun-15,20
246,Medroxyprogesterone,Abnormal Uterine Bleeding,1,04-Jun-15,17
247,Medroxyprogesterone,Abnormal Uterine Bleeding,1,04-Jun-15,7
248,Medroxyprogesterone,Abnormal Uterine Bleeding,1,03-Jun-15,5
250,Medroxyprogesterone,Birth Control,2,30-Nov-14,33
251,Medroxyprogesterone,Abnormal Uterine Bleeding,3,30-Nov-14,55
252,Medroxyprogesterone,Birth Control,9,22-Nov-14,28
253,Medroxyprogesterone,Abnormal Uterine Bleeding,9,17-Nov-14,40
254,Medroxyprogesterone,Birth Control,4,17-Nov-14,24
255,Medroxyprogesterone,Abnormal Uterine Bleeding,10,14-Nov-14,35
256,Medroxyprogesterone,Birth Control,10,14-Nov-14,15
257,Medroxyprogesterone,Endometriosis,8,14-Nov-14,23
258,Medroxyprogesterone,Abnormal Uterine Bleeding,7,05-Nov-14,92
260,Medroxyprogesterone,Birth Control,2,28-Oct-14,40
261,Medroxyprogesterone,Abnormal Uterine Bleeding,7,27-Oct-14,41
262,Medroxyprogesterone,Birth Control,10,26-Oct-14,13
263,Medroxyprogesterone,Birth Control,7,18-Oct-14,18
264,Medroxyprogesterone,Birth Control,7,06-Oct-14,22
265,Medroxyprogesterone,Abnormal Uterine Bleeding,1,04-Oct-14,82
267,Medroxyprogesterone,Birth Control,10,24-Sep-14,40
269,Medroxyprogesterone,Abnormal Uterine Bleeding,2,20-Sep-14,53
271,Medroxyprogesterone,Birth Control,3,19-Sep-14,43
272,Medroxyprogesterone,Abnormal Uterine Bleeding,1,14-Sep-14,88
273,Medroxyprogesterone,Birth Control,8,07-Sep-14,1
274,Medroxyprogesterone,Abnormal Uterine Bleeding,8,07-Sep-14,32
275,Medroxyprogesterone,Abnormal Uterine Bleeding,1,03-Jun-15,26
277,Medroxyprogesterone,Abnormal Uterine Bleeding,1,30-May-15,17
278,Medroxyprogesterone,Abnormal Uterine Bleeding,1,30-May-15,14
279,Medroxyprogesterone,Abnormal Uterine Bleeding,1,29-May-15,11
281,Medroxyprogesterone,Birth Control,9,27-May-15,13
282,Medroxyprogesterone,Birth Control,9,27-May-15,13
283,Medroxyprogesterone,Birth Control,10,27-May-15,14
284,Medroxyprogesterone,Abnormal Uterine Bleeding,1,26-May-15,8
285,Medroxyprogesterone,Abnormal Uterine Bleeding,1,25-May-15,17
286,Medroxyprogesterone,Birth Control,5,25-May-15,5
287,Medroxyprogesterone,Abnormal Uterine Bleeding,1,24-May-15,17
288,Medroxyprogesterone,Abnormal Uterine Bleeding,3,24-May-15,13
289,Medroxyprogesterone,Abnormal Uterine Bleeding,1,23-May-15,15
291,Medroxyprogesterone,Abnormal Uterine Bleeding,1,21-May-15,23
293,Medroxyprogesterone,Abnormal Uterine Bleeding,10,18-May-15,6
294,Medroxyprogesterone,Birth Control,7,17-May-15,11
295,Medroxyprogesterone,Abnormal Uterine Bleeding,5,16-May-15,9
297,Medroxyprogesterone,Abnormal Uterine Bleeding,1,14-May-15,11
298,Medroxyprogesterone,Abnormal Uterine Bleeding,1,13-May-15,37
299,Medroxyprogesterone,Abnormal Uterine Bleeding,2,12-May-15,4
301,Medroxyprogesterone,Abnormal Uterine Bleeding,2,19-Feb-15,73
302,Medroxyprogesterone,Amenorrhea,10,14-Feb-15,9
304,Medroxyprogesterone,Abnormal Uterine Bleeding,10,30-Jan-15,33
305,Medroxyprogesterone,Birth Control,8,26-Jan-15,20
306,Medroxyprogesterone,Abnormal Uterine Bleeding,8,25-Jan-15,9
312,Medroxyprogesterone,Birth Control,10,07-Jan-15,11
313,Medroxyprogesterone,Abnormal Uterine Bleeding,1,06-Jan-15,67
314,Medroxyprogesterone,Birth Control,9,04-Jan-15,19
315,Medroxyprogesterone,Birth Control,10,02-Jan-15,47
316,Medroxyprogesterone,Abnormal Uterine Bleeding,1,27-Dec-14,96
318,Medroxyprogesterone,Abnormal Uterine Bleeding,7,24-Dec-14,63
319,Medroxyprogesterone,Birth Control,3,21-Dec-14,27
321,Medroxyprogesterone,Birth Control,10,18-Dec-14,37
324,Medroxyprogesterone,Birth Control,9,05-Dec-14,17
325,Medroxyprogesterone,Birth Control,3,28-Jul-13,20
326,Medroxyprogesterone,Birth Control,10,17-Jul-13,16
329,Medroxyprogesterone,Endometriosis,9,30-Jun-13,50
330,Medroxyprogesterone,Birth Control,9,30-Jun-13,13
332,Medroxyprogesterone,Birth Control,10,25-Jun-13,13
333,Medroxyprogesterone,Birth Control,9,22-Jun-13,17
334,Medroxyprogesterone,Birth Control,9,21-Jun-13,11
336,Medroxyprogesterone,Birth Control,10,07-Jun-13,10
337,Medroxyprogesterone,Abnormal Uterine Bleeding,1,30-May-13,101
338,Medroxyprogesterone,Birth Control,7,29-May-13,8
339,Medroxyprogesterone,Birth Control,10,24-May-13,11
340,Medroxyprogesterone,Birth Control,6,15-May-13,10
341,Medroxyprogesterone,Birth Control,7,14-May-13,7
342,Medroxyprogesterone,Birth Control,5,12-May-13,13
343,Medroxyprogesterone,Birth Control,4,11-May-13,10
344,Medroxyprogesterone,Birth Control,9,10-May-13,10
347,Medroxyprogesterone,Birth Control,4,24-Apr-13,21
348,Medroxyprogesterone,Endometriosis,10,18-Apr-13,53
349,Medroxyprogesterone,Abnormal Uterine Bleeding,6,04-Apr-13,56
350,Medroxyprogesterone,Birth Control,10,26-Apr-15,5
351,Medroxyprogesterone,Birth Control,1,25-Apr-15,4
352,Medroxyprogesterone,Abnormal Uterine Bleeding,1,25-Apr-15,19
353,Medroxyprogesterone,Abnormal Uterine Bleeding,2,25-Apr-15,16
354,Medroxyprogesterone,Abnormal Uterine Bleeding,8,24-Apr-15,20
356,Medroxyprogesterone,Birth Control,10,19-Apr-15,12
357,Medroxyprogesterone,Amenorrhea,10,16-Apr-15,61
359,Medroxyprogesterone,Birth Control,6,14-Apr-15,10
361,Medroxyprogesterone,Abnormal Uterine Bleeding,8,12-Apr-15,15
362,Medroxyprogesterone,Abnormal Uterine Bleeding,10,09-Apr-15,15
363,Medroxyprogesterone,Birth Control,10,09-Apr-15,6
364,Medroxyprogesterone,Endometriosis,7,09-Apr-15,9
365,Medroxyprogesterone,Abnormal Uterine Bleeding,3,08-Apr-15,7
366,Medroxyprogesterone,Birth Control,10,07-Apr-15,11
369,Medroxyprogesterone,Endometriosis,7,05-Apr-15,8
371,Medroxyprogesterone,Abnormal Uterine Bleeding,10,02-Apr-15,25
372,Medroxyprogesterone,Abnormal Uterine Bleeding,9,31-Mar-15,12
373,Medroxyprogesterone,Abnormal Uterine Bleeding,10,29-Mar-15,9
376,Medroxyprogesterone,Birth Control,9,23-Jul-15,4
378,Medroxyprogesterone,Birth Control,10,19-Jul-15,6
379,Medroxyprogesterone,Endometrial Hyperplasia; Prophylaxis,9,18-Jul-15,4
382,Medroxyprogesterone,Endometriosis,3,16-Jul-15,13
383,Medroxyprogesterone,Endometriosis,10,16-Jul-15,26
384,Medroxyprogesterone,Birth Control,10,14-Jul-15,6
385,Medroxyprogesterone,Abnormal Uterine Bleeding,6,14-Jul-15,4
386,Medroxyprogesterone,,8,13-Jul-15,4
389,Medroxyprogesterone,Birth Control,9,09-Jul-15,11
390,Medroxyprogesterone,Birth Control,3,08-Jul-15,4
391,Medroxyprogesterone,Abnormal Uterine Bleeding,1,08-Jul-15,32
392,Medroxyprogesterone,Birth Control,2,07-Jul-15,10
393,Medroxyprogesterone,Abnormal Uterine Bleeding,1,07-Jul-15,5
394,Medroxyprogesterone,Abnormal Uterine Bleeding,5,07-Jul-15,11
402,Medroxyprogesterone,Abnormal Uterine Bleeding,8,04-Jun-14,70
403,Medroxyprogesterone,Abnormal Uterine Bleeding,9,03-Jun-14,21
405,Medroxyprogesterone,Amenorrhea,8,30-May-14,98
406,Medroxyprogesterone,Birth Control,2,29-May-14,4
408,Medroxyprogesterone,Birth Control,5,11-May-14,13
410,Medroxyprogesterone,Birth Control,9,09-May-14,15
411,Medroxyprogesterone,Abnormal Uterine Bleeding,7,07-May-14,71
412,Medroxyprogesterone,Birth Control,10,30-Apr-14,19
413,Medroxyprogesterone,Abnormal Uterine Bleeding,8,25-Apr-14,21
414,Medroxyprogesterone,Birth Control,9,20-Apr-14,13
415,Medroxyprogesterone,Birth Control,10,17-Apr-14,1
416,Medroxyprogesterone,Abnormal Uterine Bleeding,1,12-Apr-14,42
417,Medroxyprogesterone,Abnormal Uterine Bleeding,9,06-Apr-14,21
419,Medroxyprogesterone,Abnormal Uterine Bleeding,1,31-Mar-14,19
420,Medroxyprogesterone,Amenorrhea,6,28-Mar-14,14
422,Medroxyprogesterone,Endometriosis,7,24-Mar-14,40
424,Medroxyprogesterone,Birth Control,7,20-Mar-14,10
425,Medroxyprogesterone,Birth Control,5,10-Nov-13,14
426,Medroxyprogesterone,Abnormal Uterine Bleeding,8,08-Nov-13,24
430,Medroxyprogesterone,Birth Control,9,05-Nov-13,11
432,Medroxyprogesterone,Birth Control,2,01-Nov-13,4
433,Medroxyprogesterone,Birth Control,5,31-Oct-13,8
435,Medroxyprogesterone,Birth Control,6,20-Oct-13,7
436,Medroxyprogesterone,Birth Control,4,15-Oct-13,18
437,Medroxyprogesterone,Birth Control,6,15-Oct-13,9
438,Medroxyprogesterone,Endometriosis,10,13-Oct-13,82
439,Medroxyprogesterone,Amenorrhea,9,12-Oct-13,11
440,Medroxyprogesterone,Birth Control,1,08-Oct-13,26
441,Medroxyprogesterone,Birth Control,10,23-Sep-13,26
443,Medroxyprogesterone,Birth Control,6,19-Sep-13,11
445,Medroxyprogesterone,Birth Control,9,01-Sep-13,17
447,Medroxyprogesterone,Birth Control,10,28-Aug-13,13
448,Medroxyprogesterone,Abnormal Uterine Bleeding,8,26-Aug-13,35
449,Medroxyprogesterone,Birth Control,4,03-Aug-13,16
450,Medroxyprogesterone,Birth Control,8,12-May-15,11
452,Medroxyprogesterone,Birth Control,4,08-May-15,3
454,Medroxyprogesterone,Abnormal Uterine Bleeding,9,08-May-15,12
455,Medroxyprogesterone,Birth Control,10,07-May-15,18
456,Medroxyprogesterone,Birth Control,9,07-May-15,4
457,Medroxyprogesterone,Birth Control,8,05-May-15,7
458,Medroxyprogesterone,Amenorrhea,9,05-May-15,13
459,Medroxyprogesterone,Amenorrhea,9,05-May-15,18
461,Medroxyprogesterone,Birth Control,9,04-May-15,12
462,Medroxyprogesterone,Abnormal Uterine Bleeding,1,04-May-15,23
463,Medroxyprogesterone,Abnormal Uterine Bleeding,7,04-May-15,7
464,Medroxyprogesterone,Birth Control,10,03-May-15,8
465,Medroxyprogesterone,Abnormal Uterine Bleeding,5,03-May-15,29
466,Medroxyprogesterone,Abnormal Uterine Bleeding,6,03-May-15,10
467,Medroxyprogesterone,Abnormal Uterine Bleeding,1,02-May-15,11
468,Medroxyprogesterone,Birth Control,3,02-May-15,7
470,Medroxyprogesterone,Abnormal Uterine Bleeding,5,01-May-15,35
471,Medroxyprogesterone,Birth Control,8,01-May-15,4
472,Medroxyprogesterone,Birth Control,8,30-Apr-15,1
474,Medroxyprogesterone,Birth Control,9,28-Apr-15,4
477,Medroxyprogesterone,Birth Control,6,24-Feb-14,19
478,Medroxyprogesterone,,2,21-Feb-14,15
479,Medroxyprogesterone,Birth Control,5,18-Feb-14,19
480,Medroxyprogesterone,Birth Control,5,17-Feb-14,8
483,Medroxyprogesterone,Amenorrhea,10,09-Feb-14,26
484,Medroxyprogesterone,Birth Control,2,09-Feb-14,14
485,Medroxyprogesterone,Endometriosis,9,08-Feb-14,39
486,Medroxyprogesterone,Abnormal Uterine Bleeding,9,29-Jan-14,24
488,Medroxyprogesterone,Birth Control,2,28-Jan-14,15
489,Medroxyprogesterone,Abnormal Uterine Bleeding,9,22-Jan-14,27
490,Medroxyprogesterone,Endometriosis,10,12-Jan-14,38
492,Medroxyprogesterone,Birth Control,10,03-Jan-14,17
493,Medroxyprogesterone,Amenorrhea,10,13-Dec-13,25
494,Medroxyprogesterone,Birth Control,10,10-Dec-13,31
495,Medroxyprogesterone,Birth Control,10,29-Nov-13,34
496,Medroxyprogesterone,Birth Control,5,16-Nov-13,10
497,Medroxyprogesterone,Birth Control,9,15-Nov-13,12
498,Medroxyprogesterone,Birth Control,9,13-Nov-13,13
499,Medroxyprogesterone,Birth Control,1,12-Nov-13,18
500,Medroxyprogesterone,Birth Control,10,07-Sep-14,23
504,Medroxyprogesterone,Abnormal Uterine Bleeding,5,14-Aug-14,31
505,Medroxyprogesterone,Birth Control,3,14-Aug-14,11
506,Medroxyprogesterone,Birth Control,4,13-Aug-14,34
507,Medroxyprogesterone,Abnormal Uterine Bleeding,10,11-Aug-14,57
508,Medroxyprogesterone,Abnormal Uterine Bleeding,8,11-Aug-14,38
509,Medroxyprogesterone,Abnormal Uterine Bleeding,7,10-Aug-14,18
510,Medroxyprogesterone,Birth Control,5,09-Aug-14,15
514,Medroxyprogesterone,Birth Control,2,24-Jul-14,20
515,Medroxyprogesterone,Birth Control,9,21-Jul-14,24
516,Medroxyprogesterone,Birth Control,6,21-Jul-14,6
517,Medroxyprogesterone,Abnormal Uterine Bleeding,1,15-Jul-14,17
518,Medroxyprogesterone,Abnormal Uterine Bleeding,6,11-Jul-14,13
519,Medroxyprogesterone,Abnormal Uterine Bleeding,1,04-Jul-14,36
521,Medroxyprogesterone,Birth Control,1,02-Jul-14,6
522,Medroxyprogesterone,Birth Control,10,01-Jul-14,11
524,Medroxyprogesterone,Birth Control,4,29-Jun-14,7
526,Medroxyprogesterone,Birth Control,10,26-Mar-15,16
527,Medroxyprogesterone,Abnormal Uterine Bleeding,5,25-Mar-15,0
530,Medroxyprogesterone,Amenorrhea,10,21-Mar-15,34
531,Medroxyprogesterone,Birth Control,1,20-Mar-15,0
533,Medroxyprogesterone,Abnormal Uterine Bleeding,1,16-Mar-15,67
535,Medroxyprogesterone,Abnormal Uterine Bleeding,10,15-Mar-15,29
536,Medroxyprogesterone,Abnormal Uterine Bleeding,6,14-Mar-15,0
538,Medroxyprogesterone,Birth Control,4,12-Mar-15,0
541,Medroxyprogesterone,Birth Control,4,07-Mar-15,1
543,Medroxyprogesterone,Birth Control,9,06-Mar-15,1
544,Medroxyprogesterone,Abnormal Uterine Bleeding,7,01-Mar-15,29
546,Medroxyprogesterone,Abnormal Uterine Bleeding,10,28-Feb-15,40
547,Medroxyprogesterone,Birth Control,7,27-Feb-15,14
548,Medroxyprogesterone,Abnormal Uterine Bleeding,2,26-Feb-15,75
549,Medroxyprogesterone,Abnormal Uterine Bleeding,10,22-Feb-15,6
550,Medroxyprogesterone,Birth Control,8,03-Apr-13,10
551,Medroxyprogesterone,Birth Control,7,03-Apr-13,19
552,Medroxyprogesterone,Birth Control,8,25-Mar-13,20
554,Medroxyprogesterone,Birth Control,4,22-Mar-13,14
555,Medroxyprogesterone,Birth Control,10,05-Mar-13,1
557,Medroxyprogesterone,Birth Control,9,27-Feb-13,14
558,Medroxyprogesterone,Birth Control,8,26-Feb-13,4
560,Medroxyprogesterone,Birth Control,3,29-Jan-13,19
561,Medroxyprogesterone,Birth Control,9,22-Jan-13,26
562,Medroxyprogesterone,Birth Control,10,19-Jan-13,25
563,Medroxyprogesterone,Endometriosis,10,10-Jan-13,62
564,Medroxyprogesterone,Birth Control,1,05-Jan-13,23
565,Medroxyprogesterone,Endometriosis,8,03-Jan-13,18
568,Medroxyprogesterone,,2,17-Dec-12,5
569,Medroxyprogesterone,Birth Control,2,09-Dec-12,10
572,Medroxyprogesterone,Birth Control,10,09-Nov-12,13
574,Medroxyprogesterone,Birth Control,9,04-Nov-12,12
575,Medroxyprogesterone,Birth Control,10,01-Nov-12,17
577,Medroxyprogesterone,Amenorrhea,9,14-Oct-12,46
578,Medroxyprogesterone,Abnormal Uterine Bleeding,3,11-Oct-12,29
579,Medroxyprogesterone,Birth Control,2,10-Oct-12,2
581,Medroxyprogesterone,Birth Control,9,16-Sep-12,11
583,Medroxyprogesterone,Birth Control,1,30-Aug-12,6
